Team,Th1,Th2,Th3,Cn1,Cn2,Cn3,R1,R2,R3,R4,S1,S2,S3,S4,I1,I2,I3,I4,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,Notes
16127,0.5,0.0,4.5,0.5,1.0,1.0,0.5,1.5,1.5,4.0,3.5,1.0,3.0,1.5,5.0,1.0,2.0,2.5,2.0,5.0,2.5,3.0,1.0,0.5,3.5,3.5,3.0,3.5,
16238,4.5,4.0,3.0,3.0,3.5,5.0,3.0,3.0,3.5,4.0,2.5,0.0,3.0,1.5,0.5,0.0,2.5,5.0,3.0,4.0,1.0,1.5,5.0,3.5,3.5,1.5,3.5,1.5,
16276,3.0,0.0,3.0,2.5,2.0,2.5,2.0,3.0,4.0,2.0,0.5,1.0,4.0,0.5,1.5,0.5,0.0,2.0,3.0,3.0,3.0,5.0,5.0,1.5,4.5,0.5,4.5,4.0,
16358,5.0,3.5,4.0,4.5,2.5,2.5,0.5,2.0,3.0,1.5,2.0,2.0,4.0,1.5,4.5,1.0,3.5,2.5,1.5,4.0,5.0,0.5,4.0,0.5,2.0,5.0,5.0,4.5,
16618,4.0,2.5,0.0,0.0,1.0,3.5,0.0,1.0,2.5,2.5,3.0,0.0,3.5,3.0,1.0,3.0,1.0,0.5,4.5,4.0,2.5,4.0,0.0,4.0,4.0,1.5,3.0,3.5,Veteran team
16908,2.0,2.0,4.0,4.0,1.5,1.5,4.5,3.5,0.0,1.5,4.0,2.5,1.0,2.0,3.5,1.0,1.5,4.0,2.0,2.0,5.0,5.0,1.5,0.0,1.0,5.0,3.5,1.0,
17560,1.0,4.5,1.5,1.5,2.0,1.0,1.5,4.0,0.0,2.5,2.5,3.5,2.5,1.5,3.0,1.5,0.5,3.0,2.5,3.0,3.0,4.0,2.5,2.5,4.0,2.0,1.5,2.0,
17684,1.5,1.0,0.5,1.0,3.0,1.0,5.0,1.0,1.0,2.0,5.0,1.5,1.0,3.5,0.5,2.5,1.0,5.0,2.0,2.5,5.0,3.5,5.0,2.0,4.5,2.0,1.5,5.0,Veteran team
18016,4.5,2.5,2.0,4.0,5.0,5.0,2.5,2.5,2.5,3.0,1.5,2.0,2.5,0.5,0.0,4.5,3.5,1.0,1.5,0.0,2.0,4.5,4.0,3.5,0.5,4.0,4.5,2.5,Late check-in
18662,4.5,5.0,0.0,0.5,3.5,0.5,1.0,4.0,0.0,3.5,0.5,0.0,1.0,1.0,4.5,5.0,1.0,4.0,1.0,1.5,2.0,2.0,4.5,1.5,1.5,3.0,0.5,3.0,
18696,4.0,4.5,1.0,4.5,4.5,1.5,4.0,2.0,1.0,3.5,1.5,1.5,3.0,3.0,0.0,0.0,2.5,0.5,0.5,4.5,5.0,3.5,4.5,3.5,4.5,0.0,2.0,2.0,
18824,3.5,5.0,4.5,4.5,4.5,1.5,1.0,4.0,3.5,4.0,5.0,0.5,3.5,0.5,0.5,1.0,1.5,4.5,5.0,4.5,0.5,0.5,1.5,3.0,1.0,3.5,4.5,1.5,Rookie Team
19288,1.5,3.5,1.0,4.5,3.0,4.5,0.0,0.5,0.0,5.0,2.5,0.5,1.5,2.0,1.5,1.5,1.0,1.0,2.0,0.5,3.0,4.0,1.0,3.0,3.5,1.5,2.0,0.5,Veteran team
